Sort Type,List Size,Counter #,Execution Time (s)
Selection,1000,500499,0.020647764205932617
Selection,1000,500499,0.02025890350341797
Selection,1000,500499,0.03774261474609375
Selection,1000,500499,0.030935287475585938
Selection,1000,500499,0.035774946212768555
Selection,1000,500499,0.03491926193237305
Selection,1000,500499,0.03613924980163574
Selection,1000,500499,0.03840017318725586
Selection,1000,500499,0.03698992729187012
Selection,1000,500499,0.033997297286987305
Selection,2000,2000999,0.14233183860778809
Selection,2000,2000999,0.12781381607055664
Selection,2000,2000999,0.11626553535461426
Selection,2000,2000999,0.13123393058776855
Selection,2000,2000999,0.13275575637817383
Selection,2000,2000999,0.13216662406921387
Selection,2000,2000999,0.13408541679382324
Selection,2000,2000999,0.13462471961975098
Selection,2000,2000999,0.13409948348999023
Selection,2000,2000999,0.13691377639770508
Selection,3000,4501499,0.2846226692199707
Selection,3000,4501499,0.27673792839050293
Selection,3000,4501499,0.182877779006958
Selection,3000,4501499,0.3001847267150879
Selection,3000,4501499,0.30899858474731445
Selection,3000,4501499,0.30317091941833496
Selection,3000,4501499,0.31748485565185547
Selection,3000,4501499,0.1833333969116211
Selection,3000,4501499,0.3024740219116211
Selection,3000,4501499,0.3423306941986084
Selection,4000,8001999,0.47238659858703613
Selection,4000,8001999,0.5268387794494629
Selection,4000,8001999,0.404522180557251
Selection,4000,8001999,0.6176831722259521
Selection,4000,8001999,0.5204815864562988
Selection,4000,8001999,0.44047045707702637
Selection,4000,8001999,0.4439125061035156
Selection,4000,8001999,0.5958020687103271
Selection,4000,8001999,0.5094220638275146
Selection,4000,8001999,0.5359315872192383
Selection,5000,12502499,0.8001980781555176
Selection,5000,12502499,0.8424303531646729
Selection,5000,12502499,0.7606165409088135
Selection,5000,12502499,0.720745325088501
Selection,5000,12502499,0.7675313949584961
Selection,5000,12502499,0.7837491035461426
Selection,5000,12502499,0.7438468933105469
Selection,5000,12502499,0.8321478366851807
Selection,5000,12502499,0.856900691986084
Selection,5000,12502499,0.8472869396209717
Selection,6000,18002999,1.145420789718628
Selection,6000,18002999,1.1178686618804932
Selection,6000,18002999,1.1694014072418213
Selection,6000,18002999,1.3515448570251465
Selection,6000,18002999,1.1138558387756348
Selection,6000,18002999,1.0691275596618652
Selection,6000,18002999,1.103266954421997
Selection,6000,18002999,1.218355655670166
Selection,6000,18002999,1.1040773391723633
Selection,6000,18002999,1.0950977802276611
Selection,7000,24503499,1.419438362121582
Selection,7000,24503499,1.765852928161621
Selection,7000,24503499,1.552832841873169
Selection,7000,24503499,1.2018451690673828
Selection,7000,24503499,1.7138190269470215
Selection,7000,24503499,1.6765837669372559
Selection,7000,24503499,1.6402482986450195
Selection,7000,24503499,1.451622486114502
Selection,7000,24503499,1.7160134315490723
Selection,7000,24503499,1.68546462059021
