Sort Type,List Size,Avg Counter,Avg Execution Time (s)
Heap,1000,1.0,0.008181333541870117
Merge,1000,2062.4,0.0045250654220581055
Quick,1000,15245.8,0.0010997772216796875
Insertion,1000,248691.4,0.0487006664276123
Selection,1000,500499.0,0.04227628707885742
Heap,2000,2.0,0.024546432495117187
Merge,2000,6135.7,0.011863160133361816
Quick,2000,49494.0,0.003362154960632324
Insertion,2000,1248451.3,0.23502161502838134
Selection,2000,2501498.0,0.19808571338653563
Heap,3000,3.0,0.0529078483581543
Merge,3000,12223.6,0.023305487632751466
Quick,3000,102632.4,0.007634782791137695
Insertion,3000,3496994.1,0.6157293796539307
Selection,3000,7002997.0,0.5082502365112305
Heap,4000,4.0,0.09474349021911621
Merge,4000,20311.7,0.03440234661102295
Quick,4000,178402.8,0.014593911170959473
Insertion,4000,7504857.1,1.2798470735549927
Selection,4000,15004996.0,1.0350249052047729
Heap,5000,5.0,0.14406776428222656
Merge,5000,30416.3,0.04969465732574463
Quick,5000,275880.4,0.021442294120788574
Insertion,5000,13760807.0,2.296085572242737
Selection,5000,27507495.0,1.8731689691543578
Heap,6000,6.0,0.19503531455993653
Merge,6000,42519.3,0.06769273281097413
Quick,6000,394198.4,0.034181833267211914
Insertion,6000,22775859.1,3.7747449398040773
Selection,6000,45510494.0,3.0575477361679075
Heap,7000,7.0,0.2608238697052002
Merge,7000,56622.2,0.0879326343536377
Quick,7000,534526.8,0.0426180362701416
Insertion,7000,35030810.3,5.81630551815033
Selection,7000,70013993.0,4.670905089378357
